date,risk_free_rate
2013-02-11,3.5714285714285714e-06
2013-02-12,3.5714285714285714e-06
2013-02-13,3.968253968253968e-06
2013-02-14,4.365079365079366e-06
2013-02-15,3.968253968253968e-06
2013-02-19,4.7619047619047615e-06
2013-02-20,4.7619047619047615e-06
2013-02-21,5.158730158730158e-06
2013-02-22,5.158730158730158e-06
2013-02-25,4.7619047619047615e-06
2013-02-26,5.555555555555557e-06
2013-02-27,4.365079365079366e-06
2013-02-28,4.365079365079366e-06
2013-03-01,4.365079365079366e-06
2013-03-04,4.365079365079366e-06
2013-03-05,3.1746031746031746e-06
2013-03-06,3.968253968253968e-06
2013-03-07,3.968253968253968e-06
2013-03-08,3.968253968253968e-06
2013-03-11,3.968253968253968e-06
2013-03-12,3.968253968253968e-06
2013-03-13,3.5714285714285714e-06
2013-03-14,3.968253968253968e-06
2013-03-15,3.5714285714285714e-06
2013-03-18,2.7777777777777783e-06
2013-03-19,2.7777777777777783e-06
2013-03-20,2.7777777777777783e-06
2013-03-21,2.7777777777777783e-06
2013-03-22,2.7777777777777783e-06
2013-03-25,3.1746031746031746e-06
2013-03-26,2.7777777777777783e-06
2013-03-27,3.5714285714285714e-06
2013-03-28,2.7777777777777783e-06
2013-04-01,3.1746031746031746e-06
2013-04-02,2.7777777777777783e-06
2013-04-03,2.3809523809523808e-06
2013-04-04,2.7777777777777783e-06
2013-04-05,2.7777777777777783e-06
2013-04-08,2.7777777777777783e-06
2013-04-09,2.3809523809523808e-06
2013-04-10,2.7777777777777783e-06
2013-04-11,2.7777777777777783e-06
2013-04-12,2.3809523809523808e-06
2013-04-15,2.3809523809523808e-06
2013-04-16,2.3809523809523808e-06
2013-04-17,2.3809523809523808e-06
2013-04-18,1.984126984126984e-06
2013-04-19,1.984126984126984e-06
2013-04-22,1.984126984126984e-06
2013-04-23,1.984126984126984e-06
2013-04-24,2.3809523809523808e-06
2013-04-25,1.984126984126984e-06
2013-04-26,1.984126984126984e-06
2013-04-29,1.984126984126984e-06
2013-04-30,1.984126984126984e-06
2013-05-01,2.3809523809523808e-06
2013-05-02,1.984126984126984e-06
2013-05-03,1.984126984126984e-06
2013-05-06,1.5873015873015873e-06
2013-05-07,1.5873015873015873e-06
2013-05-08,1.5873015873015873e-06
2013-05-09,1.5873015873015873e-06
2013-05-10,1.5873015873015873e-06
2013-05-13,1.984126984126984e-06
2013-05-14,1.984126984126984e-06
2013-05-15,1.5873015873015873e-06
2013-05-16,1.1904761904761904e-06
2013-05-17,1.5873015873015873e-06
2013-05-20,1.984126984126984e-06
2013-05-21,1.5873015873015873e-06
2013-05-22,1.5873015873015873e-06
2013-05-23,1.984126984126984e-06
2013-05-24,1.5873015873015873e-06
2013-05-28,1.984126984126984e-06
2013-05-29,1.984126984126984e-06
2013-05-30,1.5873015873015873e-06
2013-05-31,1.5873015873015873e-06
2013-06-03,1.984126984126984e-06
2013-06-04,1.5873015873015873e-06
2013-06-05,1.984126984126984e-06
2013-06-06,1.984126984126984e-06
2013-06-07,1.5873015873015873e-06
2013-06-10,1.984126984126984e-06
2013-06-11,1.984126984126984e-06
2013-06-12,1.984126984126984e-06
2013-06-13,1.984126984126984e-06
2013-06-14,1.984126984126984e-06
2013-06-17,1.984126984126984e-06
2013-06-18,1.984126984126984e-06
2013-06-19,1.984126984126984e-06
2013-06-20,1.984126984126984e-06
2013-06-21,1.984126984126984e-06
2013-06-24,2.3809523809523808e-06
2013-06-25,2.3809523809523808e-06
2013-06-26,2.3809523809523808e-06
2013-06-27,2.3809523809523808e-06
2013-06-28,1.5873015873015873e-06
2013-07-01,1.5873015873015873e-06
2013-07-02,1.1904761904761904e-06
2013-07-03,1.984126984126984e-06
2013-07-05,1.5873015873015873e-06
2013-07-08,1.984126984126984e-06
2013-07-09,1.5873015873015873e-06
2013-07-10,1.5873015873015873e-06
2013-07-11,1.5873015873015873e-06
2013-07-12,1.5873015873015873e-06
2013-07-15,1.5873015873015873e-06
2013-07-16,1.1904761904761904e-06
2013-07-17,1.1904761904761904e-06
2013-07-18,1.1904761904761904e-06
2013-07-19,1.1904761904761904e-06
2013-07-22,1.5873015873015873e-06
2013-07-23,7.936507936507937e-07
2013-07-24,1.1904761904761904e-06
2013-07-25,7.936507936507937e-07
2013-07-26,1.1904761904761904e-06
2013-07-29,1.1904761904761904e-06
2013-07-30,1.5873015873015873e-06
2013-07-31,1.5873015873015873e-06
2013-08-01,1.5873015873015873e-06
2013-08-02,1.5873015873015873e-06
2013-08-05,1.984126984126984e-06
2013-08-06,1.5873015873015873e-06
2013-08-07,1.984126984126984e-06
2013-08-08,1.984126984126984e-06
2013-08-09,1.984126984126984e-06
2013-08-12,2.3809523809523808e-06
2013-08-13,2.3809523809523808e-06
2013-08-14,1.984126984126984e-06
2013-08-15,1.984126984126984e-06
2013-08-16,1.984126984126984e-06
2013-08-19,2.3809523809523808e-06
2013-08-20,1.5873015873015873e-06
2013-08-21,1.5873015873015873e-06
2013-08-22,1.1904761904761904e-06
2013-08-23,1.1904761904761904e-06
2013-08-26,1.5873015873015873e-06
2013-08-27,1.984126984126984e-06
2013-08-28,1.1904761904761904e-06
2013-08-29,7.936507936507937e-07
2013-08-30,1.1904761904761904e-06
2013-09-03,7.936507936507937e-07
2013-09-04,7.936507936507937e-07
2013-09-05,7.936507936507937e-07
2013-09-06,7.936507936507937e-07
2013-09-09,7.936507936507937e-07
2013-09-10,7.936507936507937e-07
2013-09-11,7.936507936507937e-07
2013-09-12,3.9682539682539683e-07
2013-09-13,3.9682539682539683e-07
2013-09-16,7.936507936507937e-07
2013-09-17,3.9682539682539683e-07
2013-09-18,3.9682539682539683e-07
2013-09-19,3.9682539682539683e-07
2013-09-20,3.9682539682539683e-07
2013-09-23,7.936507936507937e-07
2013-09-24,7.936507936507937e-07
2013-09-25,7.936507936507937e-07
2013-09-26,0.0
2013-09-27,7.936507936507937e-07
2013-09-30,7.936507936507937e-07
2013-10-01,7.936507936507937e-07
2013-10-02,7.936507936507937e-07
2013-10-03,1.1904761904761904e-06
2013-10-04,1.1904761904761904e-06
2013-10-07,1.1904761904761904e-06
2013-10-08,1.984126984126984e-06
2013-10-09,1.984126984126984e-06
2013-10-10,1.984126984126984e-06
2013-10-11,3.1746031746031746e-06
2013-10-15,5.555555555555557e-06
2013-10-16,3.968253968253968e-06
2013-10-17,1.984126984126984e-06
2013-10-18,1.5873015873015873e-06
2013-10-21,1.5873015873015873e-06
2013-10-22,1.5873015873015873e-06
2013-10-23,1.5873015873015873e-06
2013-10-24,1.1904761904761904e-06
2013-10-25,1.5873015873015873e-06
2013-10-28,1.5873015873015873e-06
2013-10-29,1.5873015873015873e-06
2013-10-30,1.5873015873015873e-06
2013-10-31,1.5873015873015873e-06
2013-11-01,1.5873015873015873e-06
2013-11-04,1.984126984126984e-06
2013-11-05,1.984126984126984e-06
2013-11-06,1.984126984126984e-06
2013-11-07,1.984126984126984e-06
2013-11-08,2.3809523809523808e-06
